year,round,position,driver_id,q1,q2,q3
2021,10,10,sebastian_vettel,1:27.493,1:27.103,1:27.179
2021,10,11,fernando_alonso,1:27.580,1:27.245,
2021,10,12,pierre_gasly,1:27.600,1:27.273,
2021,10,13,esteban_ocon,1:27.415,1:27.340,
2021,10,14,antonio_giovinazzi,1:27.595,1:27.617,
2021,10,15,lance_stroll,1:28.017,1:27.665,
2021,10,16,yuki_tsunoda,1:28.043,,
2021,10,17,kimi_raikkonen,1:28.062,,
2021,10,18,nicholas_latifi,1:28.254,,
2021,10,19,mick_schumacher,1:28.738,,
2021,10,20,nikita_mazepin,1:29.051,,
2021,11,1,lewis_hamilton,1:16.424,1:16.553,1:15.419
2021,11,2,valtteri_bottas,1:16.569,1:16.702,1:15.734
2021,11,3,max_verstappen,1:16.214,1:15.650,1:15.840
2021,11,4,sergio_perez,1:17.233,1:16.443,1:16.421
2021,11,5,pierre_gasly,1:16.874,1:16.394,1:16.483
2021,11,6,lando_norris,1:17.081,1:16.385,1:16.489
2021,11,7,charles_leclerc,1:17.084,1:16.574,1:16.496
2021,11,8,esteban_ocon,1:17.367,1:16.766,1:16.653
2021,11,9,fernando_alonso,1:17.123,1:16.541,1:16.715
2021,11,10,sebastian_vettel,1:17.105,1:16.794,1:16.750
2021,11,11,daniel_ricciardo,1:17.664,1:16.871,
2021,11,12,lance_stroll,1:17.038,1:16.893,
2021,11,13,kimi_raikkonen,1:17.553,1:17.564,
2021,11,14,antonio_giovinazzi,1:17.776,1:17.583,
2021,11,15,carlos_sainz,1:16.649,,
2021,11,16,yuki_tsunoda,1:17.919,,
2021,11,17,george_russell,1:17.944,,
2021,11,18,nicholas_latifi,1:18.036,,
2021,11,19,nikita_mazepin,1:18.922,,
2021,12,1,max_verstappen,1:58.717,1:56.559,1:59.765
2021,12,2,george_russell,1:59.864,1:56.950,2:00.086
2021,12,3,lewis_hamilton,1:59.218,1:56.229,2:00.099
2021,12,4,daniel_ricciardo,2:01.583,1:57.127,2:00.864
2021,12,5,sebastian_vettel,2:00.175,1:56.814,2:00.935
2021,12,6,pierre_gasly,2:00.387,1:56.440,2:01.164
2021,12,7,sergio_perez,1:59.334,1:56.886,2:02.112
2021,12,8,valtteri_bottas,1:59.870,1:56.295,2:02.502
2021,12,9,esteban_ocon,2:01.824,1:57.354,2:03.513
2021,12,10,lando_norris,1:58.301,1:56.025,
2021,12,11,charles_leclerc,2:00.728,1:57.721,
2021,12,12,nicholas_latifi,2:00.966,1:58.056,
2021,12,13,carlos_sainz,2:01.184,1:58.137,
2021,12,14,fernando_alonso,2:01.653,1:58.205,
2021,12,15,lance_stroll,2:01.597,1:58.231,
2021,12,16,antonio_giovinazzi,2:02.306,,
2021,12,17,yuki_tsunoda,2:02.413,,
2021,12,18,mick_schumacher,2:03.973,,
2021,12,19,kimi_raikkonen,2:04.452,,
2021,12,20,nikita_mazepin,2:04.939,,
2021,13,1,max_verstappen,1:10.036,1:09.071,1:08.885
2021,13,2,lewis_hamilton,1:10.114,1:09.726,1:08.923
2021,13,3,valtteri_bottas,1:10.219,1:09.769,1:09.222
2021,13,4,pierre_gasly,1:10.274,1:09.541,1:09.478
2021,13,5,charles_leclerc,1:09.829,1:09.437,1:09.527
2021,13,6,carlos_sainz,1:10.022,1:09.870,1:09.537
2021,13,7,antonio_giovinazzi,1:10.050,1:10.033,1:09.590
2021,13,8,esteban_ocon,1:10.179,1:09.919,1:09.933
2021,13,9,fernando_alonso,1:10.435,1:10.020,1:09.956
2021,13,10,daniel_ricciardo,1:10.255,1:09.865,1:10.166
2021,13,11,george_russell,1:10.382,1:10.332,
2021,13,12,lance_stroll,1:10.438,1:10.367,
2021,13,13,lando_norris,1:10.489,1:10.406,
2021,13,14,nicholas_latifi,1:10.093,1:11.161,
2021,13,15,yuki_tsunoda,1:10.462,1:11.314,
2021,13,16,sergio_perez,1:10.530,,
2021,13,17,sebastian_vettel,1:10.731,,
2021,13,18,robert_kubica,1:11.301,,
2021,13,19,mick_schumacher,1:11.387,,
2021,13,20,nikita_mazepin,1:11.875,,
2021,14,1,valtteri_bottas,1:20.685,1:20.032,1:19.555
2021,14,2,lewis_hamilton,1:20.543,1:19.936,1:19.651
2021,14,3,max_verstappen,1:21.035,1:20.229,1:19.966
2021,14,4,lando_norris,1:20.916,1:20.059,1:19.989
2021,14,5,daniel_ricciardo,1:21.292,1:20.435,1:19.995
2021,14,6,pierre_gasly,1:21.440,1:20.556,1:20.260
2021,14,7,carlos_sainz,1:21.118,1:20.750,1:20.462
2021,14,8,charles_leclerc,1:21.219,1:20.767,1:20.510
2021,14,9,sergio_perez,1:21.308,1:20.882,1:20.611
2021,14,10,antonio_giovinazzi,1:21.197,1:20.726,1:20.808
2021,14,11,sebastian_vettel,1:21.394,1:20.913,
2021,14,12,lance_stroll,1:21.415,1:21.020,
2021,14,13,fernando_alonso,1:21.487,1:21.069,
2021,14,14,esteban_ocon,1:21.500,1:21.103,
2021,14,15,george_russell,1:21.890,1:21.392,
2021,14,16,nicholas_latifi,1:21.925,,
2021,14,17,yuki_tsunoda,1:21.973,,
2021,14,18,mick_schumacher,1:22.248,,
2021,14,19,robert_kubica,1:22.530,,
2021,14,20,nikita_mazepin,1:22.716,,
2021,15,1,lando_norris,1:47.238,1:45.827,1:41.993
2021,15,2,carlos_sainz,1:47.924,1:46.521,1:42.510
2021,15,3,george_russell,1:48.303,1:46.435,1:42.983
2021,15,4,lewis_hamilton,1:45.992,1:45.129,1:44.050
2021,15,5,daniel_ricciardo,1:48.345,1:46.361,1:44.156
2021,15,6,fernando_alonso,1:47.877,1:45.514,1:44.204
2021,15,7,valtteri_bottas,1:46.396,1:45.306,1:44.710
2021,15,8,lance_stroll,1:48.322,1:46.360,1:44.956
2021,15,9,sergio_perez,1:46.455,1:45.834,1:45.337
2021,15,10,esteban_ocon,1:48.099,1:46.070,1:45.865
2021,15,11,sebastian_vettel,1:47.205,1:46.573,
2021,15,12,pierre_gasly,1:47.828,1:46.641,
2021,15,13,yuki_tsunoda,1:48.854,1:46.751,
2021,15,14,nicholas_latifi,1:48.252,,
2021,15,15,charles_leclerc,1:48.470,,
2021,15,16,kimi_raikkonen,1:49.586,,
2021,15,17,mick_schumacher,1:49.830,,
2021,15,18,antonio_giovinazzi,1:51.023,,
2021,15,19,nikita_mazepin,1:53.764,,
2021,15,20,max_verstappen,,,
2021,16,1,lewis_hamilton,1:24.585,1:23.082,1:22.868
2021,16,2,valtteri_bottas,1:25.047,1:23.579,1:22.998
2021,16,3,max_verstappen,1:24.592,1:23.732,1:23.196
2021,16,4,charles_leclerc,1:24.869,1:24.015,1:23.265
2021,16,5,pierre_gasly,1:24.704,1:23.817,1:23.326
2021,16,6,fernando_alonso,1:25.174,1:23.914,1:23.477
2021,16,7,sergio_perez,1:24.963,1:23.961,1:23.706
2021,16,8,lando_norris,1:25.138,1:24.642,1:23.954
2021,16,9,lance_stroll,1:25.511,1:24.601,1:24.305
2021,16,10,yuki_tsunoda,1:25.409,1:24.054,1:24.368
2021,16,11,sebastian_vettel,1:25.787,1:24.795,
2021,16,12,esteban_ocon,1:25.422,1:24.842,
2021,16,13,george_russell,1:25.417,1:25.007,
2021,16,14,mick_schumacher,1:25.555,1:25.200,
2021,16,15,carlos_sainz,1:25.177,,
2021,16,16,daniel_ricciardo,1:25.881,,
2021,16,17,nicholas_latifi,1:26.086,,
2021,16,18,antonio_giovinazzi,1:26.430,,
2021,16,19,kimi_raikkonen,1:27.525,,
2021,16,20,nikita_mazepin,1:28.449,,
2021,17,1,max_verstappen,1:34.352,1:33.464,1:32.910
2021,17,2,lewis_hamilton,1:34.579,1:33.797,1:33.119
2021,17,3,sergio_perez,1:34.369,1:34.178,1:33.134
2021,17,4,valtteri_bottas,1:34.590,1:33.959,1:33.475
2021,17,5,charles_leclerc,1:34.153,1:33.928,1:33.606
2021,17,6,carlos_sainz,1:34.558,1:34.126,1:33.792
2021,17,7,daniel_ricciardo,1:34.407,1:34.643,1:33.808
2021,17,8,lando_norris,1:34.551,1:33.880,1:33.887
2021,17,9,pierre_gasly,1:34.567,1:34.583,1:34.118
2021,17,10,yuki_tsunoda,1:35.360,1:35.137,1:34.918
2021,17,11,esteban_ocon,1:35.747,1:35.377,
2021,17,12,sebastian_vettel,1:35.281,1:35.500,
2021,17,13,antonio_giovinazzi,1:35.920,1:35.794,
2021,17,14,fernando_alonso,1:35.756,1:44.549,
2021,17,15,george_russell,1:35.746,,
2021,17,16,lance_stroll,1:35.983,,
2021,17,17,nicholas_latifi,1:35.995,,
2021,17,18,kimi_raikkonen,1:36.311,,
2021,17,19,mick_schumacher,1:36.499,,
2021,17,20,nikita_mazepin,1:36.796,,
2021,18,1,valtteri_bottas,1:16.727,1:16.864,1:15.875
2021,18,2,lewis_hamilton,1:17.207,1:16.474,1:16.020
2021,18,3,max_verstappen,1:16.788,1:16.483,1:16.225
2021,18,4,sergio_perez,1:17.003,1:17.055,1:16.342
2021,18,5,pierre_gasly,1:16.908,1:16.955,1:16.456
2021,18,6,carlos_sainz,1:17.517,1:17.248,1:16.761
2021,18,7,daniel_ricciardo,1:17.719,1:17.092,1:16.763
2021,18,8,charles_leclerc,1:16.748,1:17.034,1:16.837
2021,18,9,yuki_tsunoda,1:17.330,1:16.701,1:17.158
2021,18,10,lando_norris,1:17.569,1:17.473,1:36.830
2021,18,11,sebastian_vettel,1:17.502,1:17.746,
2021,18,12,kimi_raikkonen,1:17.606,1:17.958,
2021,18,13,george_russell,1:17.958,1:18.172,
2021,18,14,antonio_giovinazzi,1:17.897,1:18.290,
2021,18,15,esteban_ocon,1:18.126,1:18.405,
2021,18,16,fernando_alonso,1:18.452,,
2021,18,17,nicholas_latifi,1:18.756,,
2021,18,18,mick_schumacher,1:18.858,,
2021,18,19,nikita_mazepin,1:19.303,,
2021,18,20,lance_stroll,1:20.873,,
2021,19,1,lewis_hamilton,1:08.733,1:08.068,1:07.934
2021,19,2,max_verstappen,1:09.329,1:08.499,1:08.372
2021,19,3,valtteri_bottas,1:09.040,1:08.426,1:08.469
2021,19,4,sergio_perez,1:09.172,1:08.973,1:08.483
2021,19,5,pierre_gasly,1:09.347,1:08.903,1:08.777
2021,19,6,carlos_sainz,1:09.046,1:09.031,1:08.826
2021,19,7,charles_leclerc,1:09.155,1:08.859,1:08.960
2021,19,8,lando_norris,1:09.365,1:09.030,1:08.980
2021,19,9,daniel_ricciardo,1:09.374,1:09.093,1:09.039
2021,19,10,fernando_alonso,1:09.391,1:09.137,1:09.113
2021,19,11,esteban_ocon,1:09.430,1:09.189,
2021,19,12,sebastian_vettel,1:09.451,1:09.399,
2021,19,13,yuki_tsunoda,1:09.350,1:09.483,
2021,19,14,kimi_raikkonen,1:09.598,1:09.503,
2021,19,15,antonio_giovinazzi,1:09.342,1:10.227,
2021,19,16,lance_stroll,1:09.663,,
2021,19,17,nicholas_latifi,1:09.897,,
2021,19,18,george_russell,1:09.953,,
2021,19,19,mick_schumacher,1:10.329,,
2021,19,20,nikita_mazepin,1:10.589,,
2021,20,1,lewis_hamilton,1:21.901,1:21.682,1:20.827
2021,20,2,max_verstappen,1:21.996,1:21.984,1:21.424
2021,20,3,valtteri_bottas,1:22.016,1:21.991,1:21.478
2021,20,4,pierre_gasly,1:22.535,1:21.728,1:21.640
2021,20,5,fernando_alonso,1:22.422,1:21.894,1:21.670
2021,20,6,lando_norris,1:22.839,1:22.216,1:21.731
2021,20,7,carlos_sainz,1:22.304,1:22.241,1:21.840
2021,20,8,yuki_tsunoda,1:22.458,1:22.058,1:21.881
2021,20,9,esteban_ocon,1:22.565,1:22.012,1:22.028
2021,20,10,sebastian_vettel,1:22.549,1:22.146,1:22.785
2021,20,11,sergio_perez,1:22.398,1:22.346,
2021,20,12,lance_stroll,1:22.551,1:22.460,
2021,20,13,charles_leclerc,1:22.742,1:22.463,
2021,20,14,daniel_ricciardo,1:22.688,1:22.597,
2021,20,15,george_russell,1:22.863,1:22.756,
2021,20,16,kimi_raikkonen,1:23.156,,
2021,20,17,nicholas_latifi,1:23.213,,
2021,20,18,antonio_giovinazzi,1:23.262,,
2021,20,19,mick_schumacher,1:23.407,,
