year,round,lap,driver_id,lap_time,gap_to_leader
2021,1,14,lando_norris,1:35.286,36.045
2021,1,14,charles_leclerc,1:35.552,37.090
2021,1,14,fernando_alonso,1:37.143,40.542
2021,1,14,daniel_ricciardo,1:57.427,40.916
2021,1,14,lance_stroll,1:37.477,41.717
2021,1,14,nicholas_latifi,1:42.131,PIT
2021,1,14,kimi_raikkonen,1:57.033,47.564
2021,1,14,esteban_ocon,1:57.222,51.070
2021,1,14,antonio_giovinazzi,1:37.462,55.750
2021,1,14,mick_schumacher,1:42.903,PIT
2021,1,14,george_russell,1:57.136,57.688
2021,1,14,pierre_gasly,1:38.302,61.414
2021,1,15,max_verstappen,1:36.924,0.0
2021,1,15,valtteri_bottas,1:36.583,6.116
2021,1,15,lewis_hamilton,1:34.057,19.618
2021,1,15,sergio_perez,1:36.853,25.175
2021,1,15,carlos_sainz,1:40.840,PIT
2021,1,15,sebastian_vettel,1:38.024,33.830
2021,1,15,yuki_tsunoda,1:40.580,PIT
2021,1,15,lando_norris,1:35.679,34.800
2021,1,15,charles_leclerc,1:35.955,36.121
2021,1,15,daniel_ricciardo,1:36.081,40.073
2021,1,15,fernando_alonso,1:37.447,41.065
2021,1,15,lance_stroll,1:36.841,41.634
2021,1,15,kimi_raikkonen,1:36.336,46.976
2021,1,15,esteban_ocon,1:36.659,50.805
2021,1,15,antonio_giovinazzi,1:36.790,55.616
2021,1,15,george_russell,1:36.811,57.575
2021,1,15,pierre_gasly,1:38.001,62.491
2021,1,15,nicholas_latifi,1:59.286,64.846
2021,1,15,mick_schumacher,2:01.871,81.275
2021,1,16,max_verstappen,1:37.033,0.0
2021,1,16,valtteri_bottas,1:39.534,PIT
2021,1,16,lewis_hamilton,1:35.104,17.689
2021,1,16,sergio_perez,1:36.526,24.668
2021,1,16,lando_norris,1:36.344,34.111
2021,1,16,charles_leclerc,1:36.415,35.503
2021,1,16,sebastian_vettel,1:39.302,36.099
2021,1,16,daniel_ricciardo,1:36.790,39.830
2021,1,16,fernando_alonso,1:37.183,41.215
2021,1,16,lance_stroll,1:37.065,41.666
2021,1,16,carlos_sainz,1:56.548,44.944
2021,1,16,kimi_raikkonen,1:37.309,47.252
2021,1,16,esteban_ocon,1:37.030,50.802
2021,1,16,yuki_tsunoda,1:57.127,54.184
2021,1,16,antonio_giovinazzi,1:37.458,56.041
2021,1,16,george_russell,1:37.105,57.647
2021,1,16,pierre_gasly,1:37.993,63.451
2021,1,16,nicholas_latifi,1:36.602,64.415
2021,1,16,mick_schumacher,1:37.351,81.593
2021,1,17,max_verstappen,1:39.153,0.0
2021,1,17,lewis_hamilton,1:35.099,13.635
2021,1,17,sergio_perez,1:37.062,22.577
2021,1,17,valtteri_bottas,1:54.719,24.183
2021,1,17,lando_norris,1:36.239,31.197
2021,1,17,charles_leclerc,1:36.936,33.286
2021,1,17,sebastian_vettel,1:38.734,35.680
2021,1,17,daniel_ricciardo,1:36.542,37.219
2021,1,17,lance_stroll,1:36.333,38.846
2021,1,17,fernando_alonso,1:37.797,39.859
2021,1,17,carlos_sainz,1:36.150,41.941
2021,1,17,kimi_raikkonen,1:37.169,45.268
2021,1,17,esteban_ocon,1:37.242,48.891
2021,1,17,yuki_tsunoda,1:36.147,51.178
2021,1,17,antonio_giovinazzi,1:37.201,54.089
2021,1,17,george_russell,1:36.771,55.265
2021,1,17,pierre_gasly,1:38.415,62.713
2021,1,17,nicholas_latifi,1:37.665,62.927
2021,1,17,mick_schumacher,1:37.627,80.067
2021,1,18,lewis_hamilton,1:35.266,0.0
2021,1,18,max_verstappen,1:55.532,6.631
2021,1,18,valtteri_bottas,1:35.038,10.320
2021,1,18,sergio_perez,1:38.124,11.800
2021,1,18,lando_norris,1:36.045,18.341
2021,1,18,charles_leclerc,1:36.432,20.817
2021,1,18,sebastian_vettel,1:38.717,25.496
2021,1,18,daniel_ricciardo,1:37.424,25.742
2021,1,18,lance_stroll,1:36.951,26.896
2021,1,18,fernando_alonso,1:36.984,27.942
2021,1,18,carlos_sainz,1:36.364,29.404
2021,1,18,kimi_raikkonen,1:37.151,33.518
2021,1,18,esteban_ocon,1:37.095,37.085
2021,1,18,yuki_tsunoda,1:36.149,38.426
2021,1,18,antonio_giovinazzi,1:37.139,42.327
2021,1,18,george_russell,1:37.199,43.563
2021,1,18,nicholas_latifi,1:37.508,51.534
2021,1,18,pierre_gasly,1:39.272,53.084
2021,1,18,mick_schumacher,1:37.740,68.906
2021,1,19,lewis_hamilton,1:35.346,0.0
2021,1,19,max_verstappen,1:34.421,5.706
2021,1,19,valtteri_bottas,1:34.518,9.492
2021,1,19,sergio_perez,1:39.720,PIT
2021,1,19,lando_norris,1:36.084,19.079
2021,1,19,charles_leclerc,1:36.289,21.760
2021,1,19,daniel_ricciardo,1:36.383,26.779
2021,1,19,sebastian_vettel,1:39.071,29.221
2021,1,19,lance_stroll,1:38.008,29.558
2021,1,19,fernando_alonso,1:37.506,30.102
2021,1,19,carlos_sainz,1:36.450,30.508
2021,1,19,kimi_raikkonen,1:37.121,35.293
2021,1,19,esteban_ocon,1:36.674,38.413
2021,1,19,yuki_tsunoda,1:35.979,39.059
2021,1,19,antonio_giovinazzi,1:37.005,43.986
2021,1,19,george_russell,1:37.319,45.536
2021,1,19,nicholas_latifi,1:37.644,53.832
2021,1,19,pierre_gasly,1:40.838,PIT
2021,1,19,mick_schumacher,1:37.944,71.504
2021,1,20,lewis_hamilton,1:35.324,0.0
2021,1,20,max_verstappen,1:34.870,5.252
2021,1,20,valtteri_bottas,1:34.774,8.942
